,SRR24302632,SRR24302634,SRR24302635,SRR24302636,SRR24302637,SRR24302638,SRR24302640,SRR24302643
LOC105372348,0,0,2,0,1,0,0,1
LOC105372347,1,0,2,1,1,1,0,0
LOC105372346,1,0,0,0,2,0,0,0
LOC100420587,0,0,0,0,1,1,0,0
LOC105372349,2,0,3,2,2,0,0,1
LOC124904681,0,1,0,0,0,0,0,3
LOC102724908,1,0,1,2,0,0,0,0
LOC124904679,0,0,0,0,1,0,0,0
LOC124904797,0,0,2,0,0,0,0,0
LINC00906,45,6,6,20,1,38,38,5
LOC102724958,0,0,3,3,0,3,1,0
LINC01532,1,3,1,1,0,0,1,0
LOC124904682,0,0,1,1,0,0,1,2
UQCRFS1,10756,9467,10555,10450,7956,11233,7082,8017
UQCRFS1-DT,28,8,24,0,13,10,24,13
VSTM2B-DT,3,0,0,0,1,0,1,0
LOC124904683,0,0,1,0,0,1,0,0
VSTM2B,1,1,3,2,1,4,2,1
POP4,627,484,814,729,761,547,800,662
LOC105372353,1,2,1,0,0,2,1,3
PLEKHF1,468,326,577,301,1037,1262,329,664
C19orf12,1566,1181,1749,1507,1907,2018,1539,1352
LOC107985345,0,1,1,1,1,0,1,2
CCNE1,62,56,72,73,138,34,73,33
URI1,1992,1429,2003,1972,2130,1470,2220,1807
LOC107985271,0,2,1,0,2,0,1,0
ZNF536,232,210,405,357,240,138,520,425
LOC124904685,3,1,3,1,3,0,2,2
LOC105372354,1,0,6,0,0,0,2,0
LINC01834,0,0,0,0,0,0,2,0
LOC105372355,0,1,0,0,0,0,0,0
LOC124900621,0,0,0,0,0,0,0,0
LOC105372356,0,2,1,3,2,1,0,1
LOC105372358,1,0,0,0,0,0,1,1
TSHZ3,258,112,419,295,377,215,474,410
LINC01791,0,0,0,0,0,0,0,1
TSHZ3-AS1,12,42,50,57,54,23,84,55
LOC124904794,5,3,14,17,17,10,20,24
LINC02841,0,0,0,0,0,0,0,0
LINC03103,1,1,2,0,0,0,0,4
LOC105372361,1,2,0,1,0,0,0,0
LOC105372362,2,0,0,0,0,0,0,0
LINC01837,4,3,1,4,2,4,6,2
LOC105372364,0,0,1,0,0,2,3,0
LINC01533,1,0,2,0,1,0,2,2
LOC105376899,0,0,0,1,0,0,1,1
LINC01782,0,0,0,2,2,0,1,0
LOC124904688,2,1,0,2,0,0,0,2
ZNF507,1185,645,1319,928,884,916,1680,1060
LOC124904689,0,6,0,3,2,1,3,3
DPY19L3-DT,3,8,11,14,19,4,11,20
DPY19L3,287,157,295,242,471,364,547,329
PDCD5,592,753,633,803,616,643,616,681
ANKRD27,818,466,775,879,1012,649,1183,890
SNORA68B,0,0,1,0,1,0,1,0
RGS9BP,70,40,34,33,62,74,36,34
NUDT19-DT,87,43,58,76,27,51,40,28
NUDT19,815,693,988,956,801,805,603,549
LOC124904690,0,0,0,0,0,5,1,2
TDRD12,4,9,20,4,2,1,13,9
SLC7A9,1,0,1,3,2,2,0,2
CEP89,377,170,341,315,385,270,416,273
FAAP24,21,21,24,30,42,15,38,14
RHPN2,30,15,44,28,59,45,50,17
GPATCH1,364,162,243,291,329,153,366,301
WDR88,6,0,8,9,0,4,2,8
LOC124904691,75,59,135,92,48,82,112,102
TRT-AGT1-3,2,0,0,0,0,0,0,0
LRP3,778,665,1094,973,827,773,1033,833
SLC7A10,2,0,0,1,0,0,0,2
CEBPA,72,18,67,55,66,42,97,63
CEBPA-DT,10,2,4,7,18,6,17,7
CEBPG,907,814,1218,1254,1187,983,1002,1111
PEPD,984,618,904,708,1130,880,1006,556
LOC124904692,8,4,4,2,6,2,3,2
LOC105372370,1,0,5,1,0,0,0,0
LOC100996681,2,3,0,0,0,2,1,0
CHST8,9,8,3,7,17,2,15,5
KCTD15,470,218,468,347,584,391,748,456
LOC124904693,0,0,5,0,0,2,6,1
SUNO1,1,0,23,11,25,24,22,10
LOC105372371,0,0,1,1,0,0,0,0
LSM14A,1557,1085,1563,1461,1371,1188,1782,1506
GARRE1,1047,421,1015,760,1132,814,1152,875
GPI,8468,5147,7738,7258,6213,8324,6169,6238
PDCD2L,91,77,108,113,83,71,87,74
LOC124904695,0,0,3,1,0,1,1,1
UBA2,890,914,936,1011,652,590,892,849
WTIP,631,566,485,685,476,236,701,501
ZNF807P,106,84,84,80,87,47,68,71
LOC105372374,0,1,0,0,0,0,0,0
SCGB1B2P,10,34,15,15,5,17,23,17
SCGB2B2,39,10,66,50,20,43,44,40
SCGB2B3P,0,0,1,0,0,0,1,0
ZNF302,2261,2846,3143,2626,2158,1584,2249,2214
ZNF181,1549,1225,1484,1226,855,762,1227,1259
LOC124904698,50,48,42,34,27,27,31,44
ZNF599,97,77,121,80,81,61,114,92
LOC124904696,0,0,2,0,0,0,0,0
LINC01801,10,11,35,7,28,16,60,14
LINC02965,0,0,8,3,0,0,3,0
LINC03049,42,10,36,32,7,34,40,23
LINC00904,1,1,0,0,0,1,1,3
LINC01838,0,0,0,1,1,0,5,0
ZNF30-AS1,2,0,20,11,10,8,7,17
ZNF30,164,129,130,177,107,97,167,110
ZNF792,195,51,120,55,152,109,153,88
LOC124904699,2,0,1,4,0,0,0,0
LOC124904700,0,0,1,0,0,0,0,0
GRAMD1A,782,502,876,780,1158,830,909,692
SCN1B,720,559,1472,1346,1591,2095,1286,1261
HPN,68,57,84,76,87,126,78,69
HPN-AS1,2,1,1,2,0,2,4,2
LOC124904701,1,0,0,0,1,0,2,0
FXYD3,7,2,9,2,6,23,0,2
MIR6887,0,0,0,0,0,0,0,0
LGI4,237,228,191,202,302,298,356,327
FXYD1,3903,3054,3742,4109,2421,2894,3345,3410
FXYD7,2,0,0,7,1,1,1,0
FXYD5,292,164,362,317,558,327,555,316
LOC105372379,0,0,0,2,1,1,0,0
FAM187B,1,1,0,0,2,0,7,0
LSR,226,61,164,259,213,154,249,185
LOC105372380,1,0,2,6,5,0,6,2
USF2,4079,3265,4009,4188,3891,3472,4268,3830
HAMP,3,0,0,4,3,5,10,1
MAG,0,2,25,2,1,1,3,1
CD22,3,10,41,2,17,2,5,2
MIR5196,1,0,0,0,0,0,0,0
FFAR1,3,0,1,5,6,4,5,1
FFAR3,2,0,0,0,12,6,0,3
GPR42,1,3,1,2,7,3,3,1
LINC01531,14,35,8,12,4,0,13,6
LOC101927522,2,4,11,4,6,11,11,10
FFAR2,6,0,2,4,39,6,2,4
KRTDAP,0,0,1,0,0,0,1,1
LOC124904703,1,1,2,0,2,0,0,2
DMKN,94,185,80,158,52,93,78,52
SBSN,2,0,1,0,1,0,1,1
GAPDHS,24,9,21,21,27,28,37,39
TMEM147-AS1,71,66,74,80,53,68,94,75
TMEM147,1051,904,1069,1086,1372,1164,909,735
ATP4A,7,2,14,5,11,5,6,7
LOC124904704,13,9,11,10,17,10,11,12
PMIS2,0,0,1,3,0,0,0,1
LINC01766,0,0,0,0,0,0,0,1
HAUS5-DT,0,0,0,2,1,0,0,1
HAUS5,166,126,188,189,195,143,220,179
RBM42,1203,941,1239,1245,1136,882,1121,1083
ETV2,9,7,11,5,5,6,3,2
COX6B1,10186,9331,9105,10783,5972,7157,6421,7273
UPK1A,0,0,0,2,0,1,0,0
UPK1A-AS1,1,0,0,0,0,0,0,0
ZBTB32,14,8,5,4,5,7,3,1
KMT2B,935,457,949,795,1170,860,1136,967
IGFLR1,35,39,64,36,116,193,58,36
U2AF1L4,299,186,285,282,305,143,304,250
PSENEN,547,526,584,753,555,498,534,582
LIN37,135,150,103,133,118,115,134,135
HSPB6,23048,32455,54832,46154,41333,13917,23137,33130
PROSER3,161,177,265,215,238,244,200,243
ARHGAP33,73,62,94,121,166,96,233,182
TEX14BP,1,0,1,0,0,0,0,0
PRODH2,2,1,1,0,0,0,1,0
NPHS1,4,0,2,3,5,1,9,3
KIRREL2,2,0,3,0,3,1,0,2
LOC107985317,0,0,0,0,0,0,0,1
APLP1,321,241,644,485,635,250,581,410
LOC124904705,0,0,0,0,1,0,0,0
NFKBID,11,9,35,29,19,14,38,10
HCST,19,7,45,15,109,49,33,18
TYROBP,172,39,116,99,626,381,272,156
LRFN3,206,122,228,174,324,248,278,223
LOC105372383,29,23,35,43,26,38,30,21
SDHAF1,304,312,372,305,209,200,237,231
SYNE4,1,0,1,3,0,5,0,4
ALKBH6,79,87,154,103,110,71,177,134
LOC101927572,2,1,0,2,2,3,1,1
CLIP3,214,91,483,277,460,140,680,268
THAP8,158,112,155,104,156,80,170,85
WDR62,2104,749,1230,1279,809,1550,888,1119
OVOL3,5,0,1,1,1,0,0,2
POLR2I,901,757,713,781,497,709,532,747
TBCB,1677,1251,1829,2034,1493,1694,1678,1610
LOC105372385,0,0,0,1,1,2,1,0
CAPNS1,11194,6833,11155,11181,10122,8460,9991,9232
COX7A1,16512,14458,12024,16286,8733,15737,10079,11947
ZNF565,139,127,132,95,139,92,78,106
ZNF146,1815,1251,2215,1785,2011,1979,2136,1681
LOC107985304,3,16,2,5,2,8,6,18
LOC124904707,8,80,72,17,14,32,36,29
LOC100134317,21,22,12,12,16,31,6,9
LINC00665,162,183,224,225,171,194,156,112
ZFP14,359,209,235,216,305,144,325,260
ZFP82,291,224,289,214,216,162,437,301
LOC644189,17,2,9,9,2,5,12,12
ZNF566,553,305,485,363,388,327,541,433
ZNF566-AS1,33,17,60,25,43,38,55,21
ZNF260,694,443,743,529,833,440,832,654
ZNF529,602,458,672,716,545,555,671,787
ZNF529-AS1,33,40,69,52,53,18,51,62
ZNF382,454,317,556,498,386,324,466,396
ZNF461,332,193,303,208,265,192,278,187
ZNF567,212,120,246,160,206,179,208,212
ZNF567-DT,17,8,30,5,22,15,29,7
ZNF850,168,89,193,111,121,58,148,85
LOC728485,19,0,14,12,8,19,12,0
ZNF790-AS1,25,18,22,22,24,22,29,24
ZNF790,323,169,321,173,250,218,387,271
ZNF345,116,51,108,89,81,105,144,88
ZNF829,245,227,252,221,186,187,312,206
ZNF568,382,195,389,280,287,335,380,280
ZNF420,455,242,377,316,304,257,401,321
LOC105372390,15,40,17,31,34,15,34,28
ZNF585A,790,536,722,666,673,575,753,769
ZNF585B,441,425,614,473,440,483,495,568
ZNF383,800,458,795,572,546,466,715,632
LINC01535,20,178,385,177,22,24,19,173
LOC284412,19,32,20,39,22,42,34,29
ZNF875,1680,916,1547,1487,1317,1368,1792,1222
ZNF527,340,204,299,283,273,203,352,319
ZNF569,408,382,409,406,318,270,465,428
ZNF570,487,367,530,488,446,422,554,367
ZNF793-AS1,86,126,137,110,83,152,83,65
ZNF793,331,239,334,344,331,275,410,471
LOC124904708,337,135,555,271,140,228,401,291
ZNF571-AS1,126,104,202,72,63,48,209,130
ZNF540,339,364,238,275,230,178,184,301
ZNF571,67,119,75,88,94,86,81,98
ZFP30,559,360,459,433,388,376,495,416
ZNF781,128,169,103,163,171,141,110,113
ZNF607,464,178,333,269,358,253,426,316
ZNF573,103,36,108,74,112,91,107,97
LOC105372394,985,437,1135,662,1182,844,1139,910
LOC644554,153,83,127,92,86,152,155,109
WDR87BP,5,0,2,5,3,13,6,9
LOC105372395,0,0,1,0,0,0,1,0
WDR87,5,4,0,1,1,4,3,5
LOC107985301,0,0,0,0,0,0,0,0
SIPA1L3,584,501,550,483,470,225,561,583
LOC105372396,0,0,0,0,0,0,0,0
SNORD152,0,0,0,0,0,0,0,0
DPF1,7,3,8,5,7,2,13,9
PPP1R14A,288,198,299,300,214,223,256,220
SPINT2,185,189,455,487,407,239,410,234
YIF1B,715,383,577,570,726,607,437,378
C19orf33,0,0,0,0,0,0,0,0
KCNK6,1367,2026,2145,1437,1572,437,1609,1485
CATSPERG,9,9,18,37,30,10,25,26
LOC124904798,1,0,0,0,1,0,2,1
PSMD8,3986,3642,4999,4004,3372,3001,4285,3430
GGN,2,3,4,9,7,5,4,9
SPRED3,10,2,17,13,74,14,36,33
FAM98C,238,214,287,213,205,150,217,201
RASGRP4,26,5,22,6,113,27,37,37
RYR1,47,21,28,38,82,44,66,63
LOC124904710,0,0,0,0,0,0,1,1
MAP4K1,27,2,16,14,27,21,15,9
MAP4K1-AS1,0,0,1,0,1,2,0,0
EIF3K,3244,2703,3250,2972,2561,2977,2153,2687
ACTN4,2111,779,2118,1609,2393,1577,2675,1894
LOC107985291,0,3,0,3,0,0,4,2
CAPN12,0,2,3,6,4,7,0,3
LOC124904711,5,8,1,5,1,7,0,2
LGALS7,0,0,1,0,0,1,0,1
LGALS7B,0,0,2,1,1,3,0,0
LGALS4,1,2,2,2,0,1,3,1
ECH1,4684,3313,5885,4751,5661,5847,4073,5092
LOC124904712,15,21,15,17,16,24,14,43
HNRNPL,673,652,759,820,703,1041,702,691
RINL,80,33,34,39,81,69,69,48
SIRT2,1320,751,921,826,1028,1502,944,986
NFKBIB,231,268,303,352,359,206,564,264
CCER2,3,4,2,1,3,1,5,1
SARS2,250,131,251,165,184,214,197,183
MRPS12,419,339,508,547,431,394,421,327
LOC124904713,2,2,0,6,6,3,6,4
FBXO17,62,30,67,41,68,31,121,52
FBXO27,702,834,907,1028,580,443,795,664
ACP7,0,2,1,3,3,0,0,0
PAK4,601,451,656,567,619,509,578,542
LOC124904714,0,1,4,2,0,4,6,2
LOC124904716,2,0,1,2,2,2,0,5
NCCRP1,0,2,3,1,2,3,0,1
SYCN,0,0,0,0,0,0,0,0
LOC124904717,0,1,0,0,0,0,1,0
IFNL3,0,0,0,0,3,0,0,1
IFNL4,3,2,3,0,0,1,1,1
IFNL2,0,0,0,0,0,0,1,0
IFNL1,0,0,1,0,0,0,0,0
LRFN1,7,11,8,6,16,6,12,10
GMFG,97,46,80,63,124,77,86,56
SAMD4B,1800,1039,2158,1383,2024,1463,2078,2002
PAF1,1761,1444,2152,1975,1856,1665,2065,1805
MED29,1508,1103,1447,1260,1309,1157,1442,1413
ZFP36,575,597,558,1181,2387,2536,769,2474
MIR4530,1,1,3,0,0,1,3,2
TRI-TAT1-1,0,2,1,1,0,0,0,0
PLEKHG2,594,268,689,648,782,460,795,638
RPS16,7295,5407,5705,5941,4723,7519,3882,4162
SUPT5H,3410,2288,3861,3083,3458,2770,4460,3006
SNORD175,0,0,0,0,2,1,0,1
TIMM50,1762,1181,1657,1674,1485,1511,1382,1349
LOC124904718,9,6,6,16,22,12,17,10
DLL3,2,2,8,3,0,0,0,3
SELENOV,0,0,2,0,0,2,1,3
EID2B,175,215,237,203,109,128,141,164
EID2,378,363,472,461,290,331,447,333
LOC105372399,1,0,0,0,1,1,0,0
LGALS13,0,0,0,0,0,0,2,0
LOC100129935,1,0,0,3,0,0,0,0
LGALS16,2,0,0,0,1,0,0,1
LGALS17A,1,0,0,0,0,0,0,2
LGALS14,0,2,0,0,0,0,1,0
CLC,1,0,1,2,0,0,0,4
LEUTX,0,1,0,1,0,0,0,0
LOC124904719,0,0,0,0,0,0,0,0
DYRK1B,667,468,665,492,446,481,581,441
MIR6719,0,0,0,2,0,0,0,6
FBL,692,537,743,625,653,541,697,633
FCGBP,10,19,35,17,308,1165,127,12
LOC124904722,1,1,0,1,0,0,2,1
LOC124904720,9,2,4,3,6,0,0,2
PSMC4,1124,805,1046,1111,1021,728,1067,1044
ZNF546,205,176,164,198,140,122,229,232
ZNF780B,487,424,503,483,427,383,479,632
ZNF780A,262,91,168,142,220,126,257,178
MAP3K10,417,241,488,421,691,599,467,497
TTC9B,5,0,1,4,5,1,13,4
CCNP,4,0,1,2,3,0,4,3
AKT2,3763,2184,4156,3395,3793,3663,3823,3222
LOC107985289,7,8,7,8,11,4,5,2
MIR641,0,0,0,0,2,2,4,3
C19orf47,1871,1161,1930,1470,1942,2164,1885,1606
PLD3,3686,2029,4289,2814,4616,3841,3977,3270
MIR6796,0,0,2,0,0,0,0,0
HIPK4,28,5,24,18,25,26,20,35
PRX,285,168,324,200,303,219,535,255
SERTAD1,316,246,316,309,394,354,273,316
SERTAD3,654,528,736,551,553,600,466,538
SERTAD3-AS1,0,1,0,2,1,0,2,0
BLVRB,2254,1628,1675,1659,1543,1206,1235,1399
SPTBN4,270,211,344,255,311,279,379,336
SHKBP1,495,138,468,396,744,398,519,385
LTBP4,8584,2783,13232,4610,8365,7898,16252,8975
NUMBL,393,163,404,248,426,401,480,321
COQ8B,798,359,557,421,728,789,592,539
ITPKC,551,273,452,360,1131,1050,467,532
ACTMAP,527,285,377,464,440,356,464,404
SNRPA,725,562,737,765,726,684,689,623
MIA,0,0,2,2,2,3,3,0
MIA-RAB4B,0,0,0,0,0,0,0,0
RAB4B-EGLN2,0,0,0,0,0,0,0,0
RAB4B,0,0,0,0,0,0,0,0
EGLN2,15,5,21,5,16,10,15,9
CYP2T1P,84,66,94,75,47,46,161,73
CYP2A6,6,8,9,6,8,1,5,2
CYP2A7,3,0,5,5,2,1,1,0
CYP2G1P,0,0,6,6,5,3,2,5
CYP2B7P,2,0,4,2,5,1,5,3
CYP2B6,1,4,2,2,1,2,1,2
CYP2A13,0,0,3,0,2,1,2,0
CYP2F1,2,2,0,5,1,5,1,0
LOC124904790,3,0,5,2,2,2,6,2
CYP2S1,4,3,18,11,67,31,11,13
AXL,1030,307,1058,633,1099,769,1906,999
HNRNPUL1,5802,2948,5698,3951,5230,4665,6014,4421
LOC105372401,34,13,20,16,77,13,33,32
CCDC97,813,510,765,564,770,740,835,782
TGFB1,468,169,528,565,1075,549,1023,446
B9D2,34,15,46,24,71,34,44,39
TMEM91,39,21,35,47,55,75,76,49
EXOSC5,471,368,384,392,393,336,343,354
BCKDHA,3791,2260,3293,2896,2424,3195,2578,2451
B3GNT8,351,213,337,215,166,144,314,197
DMAC2,3559,2655,3591,3273,2585,3497,2698,2420
ERICH4,9,5,3,9,16,2,22,22
LOC107985329,0,0,0,0,0,1,0,0
PCAT19,310,116,246,276,338,130,226,253
LINC01480,0,1,1,0,2,2,0,0
CEACAM21,8,5,11,4,20,7,14,12
LOC105372404,2,0,1,2,2,4,1,1
CEACAM4,3,0,5,3,22,22,6,12
LOC105372405,0,0,0,0,0,0,0,0
CEACAM7,0,0,0,0,0,0,0,2
CEACAM5,2,1,7,1,1,0,0,0
CEACAM6,1,0,0,0,5,0,0,0
LOC112268252,2,2,2,0,0,0,1,0
CEACAM3,4,5,6,0,6,0,6,15
LYPD4,6,2,2,0,2,0,0,0
DMRTC2,1,1,0,0,2,2,0,2
RPS19,1177,854,1089,1121,1153,1029,1104,1060
MIR6797,0,1,0,1,1,1,1,0
CD79A,0,0,6,4,2,5,6,4
ARHGEF1,658,430,772,702,1147,789,1001,675
ERFL,3,4,5,5,3,6,9,2
RABAC1,714,585,855,738,1090,847,967,628
ATP1A3,14460,6403,13754,10182,14748,13133,10348,8976
GRIK5,68,40,89,46,192,87,59,110
ZNF574,402,247,400,283,326,339,361,325
POU2F2,53,15,78,59,177,41,95,59
LNROP,0,0,7,0,4,0,1,4
MIR4323,0,0,0,0,1,2,0,0
POU2F2-AS2,1,0,3,2,2,4,4,3
DEDD2,427,255,375,363,433,279,426,313
ZNF526,342,170,242,220,299,218,320,237
GSK3A,1714,1267,2003,1608,1790,1420,1753,1469
ERF,1170,542,1148,888,943,898,796,800
CIC,1449,676,1741,1190,2142,1789,1907,1494
PAFAH1B3,33,6,28,34,72,49,36,10
PRR19,3,0,1,7,6,5,0,4
TMEM145,3,1,8,2,3,3,1,9
MEGF8,5426,2610,5815,3841,5762,4649,5290,4307
MIR8077,1,0,0,0,1,0,1,0
CNFN,8,11,1,4,8,3,2,2
LOC101930071,0,0,0,0,0,0,0,0
LIPE-AS1,495,302,502,371,462,495,457,440
LIPE,529,404,1027,669,993,626,730,946
CXCL17,0,0,0,3,1,0,0,0
CEACAM1,112,123,67,114,170,35,128,167
LOC105372407,0,0,5,0,1,0,0,4
CEACAM8,3,1,1,3,3,0,0,1
PSG3,1,0,1,0,0,0,1,0
PSG8,0,0,0,0,1,1,1,1
PSG8-AS1,1,0,1,0,1,1,2,0
PSG10P,0,1,0,0,1,0,1,0
PSG1,0,0,0,1,0,0,0,0
PSG6,0,0,1,0,0,0,0,0
PSG7,1,1,0,2,1,0,0,1
PSG11,2,0,0,0,0,2,2,0
PSG2,0,0,2,2,1,0,0,1
PSG11-AS1,0,0,0,0,0,0,0,0
PSG5,1,0,0,3,0,1,1,0
PSG4,0,0,0,2,3,2,0,1
LOC284344,0,0,0,0,0,0,1,1
PSG9,0,1,2,3,0,1,2,1
LINC03078,2,7,0,2,4,4,0,0
PRG1,0,0,0,0,1,0,0,0
CD177,2,1,0,2,37,51,0,1
TEX101,0,1,4,0,3,1,2,2
LYPD3,16,3,14,5,18,4,20,14
PHLDB3,177,60,128,133,100,66,212,142
ETHE1,215,148,205,207,260,176,194,220
ZNF575,49,12,43,43,34,30,57,36
XRCC1,586,326,489,369,414,448,515,407
PINLYP,18,22,25,19,31,29,33,21
IRGQ,1202,1081,1602,1588,1469,1053,1457,1295
ZNF576,316,244,319,284,377,275,401,323
ZNF428,336,359,401,473,308,245,327,307
SRRM5,8,2,0,12,3,3,3,3
LOC105372411,3,7,11,6,6,9,10,10
CADM4,397,218,273,379,373,396,371,265
PLAUR,91,38,72,123,187,104,106,60
LOC124904724,6,0,1,0,4,2,4,1
LOC105372412,0,1,0,0,3,1,0,4
IRGC,2,0,0,1,4,1,0,0
SMG9,267,160,249,250,416,159,390,329
KCNN4,15,10,13,17,32,7,21,12
LYPD5,41,2,59,26,43,41,108,11
ZNF283,494,410,560,483,407,535,547,419
ZNF404,194,492,354,332,291,359,194,445
LOC100505715,120,75,145,133,141,159,110,129
ZNF45-AS1,83,49,40,67,79,73,78,38
ZNF45,335,210,336,290,355,227,385,315
ZNF221,622,458,558,668,550,395,641,623
ZNF155,203,125,123,96,162,186,208,186
ZNF230-DT,30,31,39,22,13,13,10,22
ZNF230,193,125,174,152,140,173,179,160
ZNF222-DT,0,0,1,2,0,0,0,0
ZNF222,135,161,138,200,131,116,153,147
ZNF223,199,87,201,139,173,152,231,137
ZNF284,102,84,90,78,123,91,130,129
ZNF224,223,183,245,221,216,148,246,236
ZNF225-AS1,64,50,37,72,37,26,52,54
ZNF225,222,118,296,228,232,193,239,213
ZNF234,458,304,411,384,411,330,474,449
ZNF226,650,608,646,677,610,540,643,729
ZNF227,394,179,298,314,374,307,430,380
LOC124904726,44,42,31,43,50,55,55,50
ZNF233,296,212,270,173,222,237,307,253
ZNF235,167,66,128,124,155,93,167,154
ZNF112,270,138,282,187,306,224,281,220
ZNF285,185,107,180,151,190,155,192,167
ZNF229,351,228,409,383,329,280,470,340
ZNF180,267,153,333,236,336,226,315,267
CEACAM20,0,1,1,1,2,0,0,0
CEACAM22P,0,1,1,1,2,11,3,0
IGSF23,1,0,0,6,4,0,0,0
PVR,1507,790,1386,1844,2416,2475,1758,1560
MIR4531,0,0,0,0,0,0,0,0
CEACAM19,74,70,103,210,147,173,119,144
LOC107985306,15,6,12,4,15,8,2,1
CEACAM16-AS1,6,107,10,14,3,10,19,4
CEACAM16,0,0,2,2,3,0,0,1
BCL3,260,75,186,171,255,473,216,156
MIR8085,0,0,0,0,0,0,0,0
CBLC,0,1,2,0,0,0,1,2
BCAM,4988,2155,4767,4221,4300,4363,4861,3393
NECTIN2,1153,814,1355,1219,1720,1257,1338,816
TOMM40,615,581,630,678,555,526,467,625
APOE,172,235,929,912,811,934,1183,1078
APOC1,11,7,15,15,28,11,17,55
APOC1P1,0,0,3,1,4,2,2,3
APOC4,0,0,0,0,0,0,0,0
APOC4-APOC2,0,0,1,0,0,0,0,2
APOC2,0,0,0,0,0,0,0,0
CLPTM1,3058,1515,3544,2264,3406,2918,2768,2451
RELB,143,81,229,185,256,160,198,147
CLASRP,352,353,383,441,378,437,520,435
ZNF296,1,2,6,0,3,2,7,1
GEMIN7,181,141,165,181,179,173,188,160
GEMIN7-AS1,1,6,9,2,0,3,0,1
PPP1R37,676,527,730,662,732,530,736,556
NKPD1,1,2,1,9,11,10,8,3
LOC105372420,0,0,0,0,0,2,1,0
TRAPPC6A,226,249,313,281,221,195,286,215
BLOC1S3,218,96,229,169,209,195,269,198
EXOC3L2,65,26,64,42,57,36,83,56
MARK4,880,673,1143,945,930,687,1030,863
CKM,126763,76751,104231,72664,94439,124076,61451,88591
KLC3,3,2,3,2,2,1,3,0
ERCC2,488,221,464,332,430,271,367,378
PPP1R13L,1902,1176,2716,2415,2540,1959,2206,1634
POLR1G,131,97,101,108,151,104,125,68
ERCC1,2060,1387,2003,1893,2253,2049,1620,1474
MIR6088,0,0,0,1,0,0,0,0
FOSB,17,13,14,80,16,14,12,110
TRU-TCA1-1,1,2,3,4,1,3,0,6
RTN2,334,244,470,374,454,339,522,288
PPM1N,16,8,23,13,26,27,21,13
LOC107985314,2,2,1,12,7,9,2,6
VASP,981,612,1425,1349,1860,996,1098,909
LOC107985315,1,2,1,1,0,1,0,0
OPA3,1672,1084,2299,1514,2386,2459,1692,1601
GPR4,267,92,378,359,440,454,248,166
EML2,1142,832,1273,1089,1163,977,1352,1010
MIR330,1,0,0,1,1,0,0,0
EML2-AS1,10,0,5,2,4,3,8,3
GIPR,78,28,86,134,114,78,112,60
MIR642A,0,0,0,0,0,0,0,0
MIR642B,0,0,0,0,0,0,0,0
SNRPD2,1767,2103,1624,2304,1533,1442,1453,1493
QPCTL,68,38,78,75,106,71,84,52
FBXO46,319,181,260,324,229,212,264,218
MEIOSIN,0,0,1,1,2,2,1,1
SIX5,1045,656,909,957,755,663,1001,698
DM1-AS,4,3,4,3,4,4,8,6
DMPK,8448,5299,9862,8790,11776,10885,9839,8174
DMWD,947,552,1022,1216,1274,1079,1034,1160
RSPH6A,1,1,2,3,1,0,3,0
SYMPK,1600,944,1621,1157,1448,1096,1545,1486
FOXA3,0,2,1,2,0,1,2,2
IRF2BP1,763,460,790,723,583,655,606,552
MYPOP,283,306,288,267,373,256,216,318
NANOS2,5,0,0,0,4,0,1,0
NOVA2,295,136,303,248,302,269,315,258
CCDC61,107,110,178,139,126,106,141,155
MIR769,1,0,0,0,1,0,1,0
PGLYRP1,2,1,0,0,1,2,3,3
LOC105372421,0,4,1,0,0,0,2,0
IGFL4,3,2,1,4,4,1,2,3
IGFL2,2,0,7,4,3,0,6,5
IGFL3,1,0,2,0,1,0,0,0
LOC105372424,0,1,1,0,0,1,0,0
IGFL2-AS1,0,0,4,1,0,2,2,5
LOC93429,0,0,0,0,0,0,0,0
IGFL1,0,1,1,1,1,0,1,0
LOC124904728,0,0,0,0,0,0,0,0
HIF3A,1054,864,1284,986,544,1631,1166,911
PPP5C,2737,1583,3449,2337,2437,2528,2598,2170
LOC105372426,37,33,66,59,92,69,62,87
CCDC8,2064,1389,2140,1762,1632,1503,2379,1723
PNMA8C,13,0,13,6,6,2,28,8
PNMA8A,624,1011,1423,758,470,285,1397,436
PNMA8B,85,44,155,69,129,67,179,104
PPP5D1P,43,28,80,49,33,47,54,42
CALM3,5897,4736,6424,5369,6925,5312,6924,4565
LOC124904729,13,1,25,35,24,23,19,39
PTGIR,122,55,176,148,243,111,260,271
GNG8,0,1,12,4,25,2,18,24
DACT3,349,394,1155,816,574,357,854,615
DACT3-AS1,3,4,8,7,4,0,7,3
PRKD2,482,208,522,376,448,289,461,341
MIR320E,0,0,1,3,2,0,0,1
LOC107987269,0,1,1,0,3,0,0,1
STRN4,1607,1091,2243,1554,1979,1710,2104,1697
FKRP,828,670,1056,742,669,630,671,695
SLC1A5,187,46,219,85,487,464,380,159
SNAR-E,1,2,0,0,0,0,1,0
AP2S1,941,801,1089,1062,1259,905,1150,921
LOC124904791,6,7,5,21,17,14,8,11
ARHGAP35,7377,3333,9207,6219,8043,6533,11683,6961
NPAS1,10,0,9,6,6,8,12,4
TMEM160,62,117,75,132,60,113,107,88
ZC3H4,1169,635,1073,948,1014,1100,1213,1039
SAE1,1442,1037,1712,1644,1444,1039,1653,1294
